Loaded model from: checkpoints\lr1e-4_ent0.01\lr1e-4_ent0.01_final.pt
[subdiv=2] Ep   124 | Opp vs_random | Ret   69.80 | AvgRet   57.97 | WinRate 0.508 | Loss 3.7850 | VLoss 7.4869 | Ent 3.6007 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   125 | Opp self_play | Ret   78.20 | AvgRet   58.16 | WinRate 0.504 | Loss 10.5771 | VLoss 20.3984 | Ent 3.3431 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   126 | Opp vs_random | Ret   86.70 | AvgRet   59.03 | WinRate 0.500 | Loss 1.6936 | VLoss 3.3403 | Ent 3.3292 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   127 | Opp vs_random | Ret   51.40 | AvgRet   59.10 | WinRate 0.504 | Loss 4.3645 | VLoss 8.7710 | Ent 3.4805 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   128 | Opp self_play | Ret   70.90 | AvgRet   59.53 | WinRate 0.500 | Loss 5.8902 | VLoss 12.1187 | Ent 3.3811 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   129 | Opp vs_random | Ret   27.10 | AvgRet   59.46 | WinRate 0.504 | Loss 14.6080 | VLoss 27.8929 | Ent 3.3761 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   130 | Opp vs_random | Ret   29.30 | AvgRet   58.31 | WinRate 0.508 | Loss 14.3025 | VLoss 27.9886 | Ent 3.5326 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   131 | Opp self_play | Ret   63.90 | AvgRet   58.68 | WinRate 0.511 | Loss 5.8268 | VLoss 11.6508 | Ent 3.3080 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   132 | Opp vs_random | Ret   81.70 | AvgRet   59.32 | WinRate 0.508 | Loss 6.4988 | VLoss 11.9037 | Ent 2.9043 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep   133 | Opp vs_random | Ret   74.10 | AvgRet   59.28 | WinRate 0.511 | Loss 6.2679 | VLoss 11.8335 | Ent 3.4473 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep   134 | Opp vs_random | Ret   68.90 | AvgRet   59.17 | WinRate 0.507 | Loss 8.2231 | VLoss 15.2382 | Ent 2.3890 | EntCoef 0.00000 | Winner: 1
